Item,Subject_Gender,Object_Gender,Word,WordNo,RT
10,mis,mis,slechts,5.0,348.3333333333333
10,mis,mis,één,6.0,356.3333333333333
10,mis,mis,oom,7.0,330.3333333333333
10,mis,mis,vriendelijk,8.0,378.6666666666667
10,mis,mis,gedag,9.0,350.6666666666667
10,mis,mis,voor,10.0,264.0
10,mis,mis,de,11.0,353.6666666666667
10,mis,mis,mis.,12.0,383.3333333333333
10,mis,mis,Na,13.0,537.0
10,mis,mis,het,14.0,421.0
10,mis,mis,familiedrama,15.0,317.3333333333333
10,mis,mis,kon,16.0,308.3333333333333
10,mis,mis,zij,17.0,267.3333333333333
10,mis,mis,nog,18.0,242.0
10,mis,mis,erg,19.0,302.3333333333333
10,mis,mis,moeilijk,20.0,232.0
10,mis,mis,beleefd,21.0,360.3333333333333
10,mis,mis,doen.,22.0,478.3333333333333
11,match,match,De,1.0,790.0
11,match,match,monteur,2.0,582.4
11,match,match,had,3.0,447.4
11,match,match,slechts,4.0,412.6
11,match,match,één,5.0,578.0
11,match,match,��n,5.0,602.0
11,match,match,neef,6.0,584.0
11,match,match,in,7.0,396.2
11,match,match,dienst,8.0,530.6
11,match,match,genomen,9.0,517.6
11,match,match,sinds,10.0,460.2
11,match,match,het,11.0,431.6
11,match,match,voorval.,12.0,1627.2
11,match,match,Het,13.0,495.4
11,match,match,jaar,14.0,418.6
11,match,match,daarvoor,15.0,412.0
11,match,match,had,16.0,420.6
11,match,match,hij,17.0,395.8
11,match,match,nog,18.0,398.2
11,match,match,een,19.0,369.4
11,match,match,dure,20.0,404.0
11,match,match,rechtszaak,21.0,443.6
11,match,match,aangespannen.,22.0,576.8
11,match,mis,De,1.0,410.0
11,match,mis,monteur,2.0,295.3333333333333
11,match,mis,had,3.0,200.33333333333334
11,match,mis,slechts,4.0,190.0
11,match,mis,één,5.0,180.0
11,match,mis,��n,5.0,211.0
11,match,mis,nicht,6.0,195.0
11,match,mis,in,7.0,500.3333333333333
11,match,mis,dienst,8.0,279.3333333333333
11,match,mis,genomen,9.0,294.6666666666667
11,match,mis,sinds,10.0,283.0
11,match,mis,het,11.0,241.0
11,match,mis,voorval.,12.0,317.0
11,match,mis,Het,13.0,322.0
11,match,mis,jaar,14.0,336.3333333333333
11,match,mis,daarvoor,15.0,285.0
11,match,mis,had,16.0,274.3333333333333
11,match,mis,hij,17.0,276.0
11,match,mis,nog,18.0,294.0
11,match,mis,een,19.0,259.0
11,match,mis,dure,20.0,243.33333333333334
11,match,mis,rechtszaak,21.0,328.6666666666667
11,match,mis,aangespannen.,22.0,429.0
11,mis,match,De,1.0,335.3333333333333
11,mis,match,monteur,2.0,348.0
11,mis,match,had,3.0,434.3333333333333
11,mis,match,slechts,4.0,355.3333333333333
11,mis,match,één,5.0,374.5
11,mis,match,��n,5.0,352.0
11,mis,match,nicht,6.0,425.6666666666667
11,mis,match,in,7.0,450.3333333333333
11,mis,match,dienst,8.0,327.0
11,mis,match,genomen,9.0,378.0
11,mis,match,sinds,10.0,370.0
11,mis,match,het,11.0,338.3333333333333
11,mis,match,voorval.,12.0,658.0
11,mis,match,Het,13.0,339.3333333333333
11,mis,match,jaar,14.0,437.3333333333333
11,mis,match,daarvoor,15.0,366.3333333333333
11,mis,match,had,16.0,320.0
11,mis,match,zij,17.0,323.0
11,mis,match,nog,18.0,335.6666666666667
11,mis,match,een,19.0,320.3333333333333
11,mis,match,dure,20.0,354.0
11,mis,match,rechtszaak,21.0,413.3333333333333
11,mis,match,aangespannen.,22.0,487.0
11,mis,mis,De,1.0,434.5
11,mis,mis,monteur,2.0,603.5
11,mis,mis,had,3.0,270.5
11,mis,mis,slechts,4.0,303.0
11,mis,mis,��n,5.0,878.5
11,mis,mis,neef,6.0,401.5
11,mis,mis,in,7.0,412.5
11,mis,mis,dienst,8.0,358.0
11,mis,mis,genomen,9.0,426.5
11,mis,mis,sinds,10.0,289.0
11,mis,mis,het,11.0,416.5
11,mis,mis,voorval.,12.0,1094.0
11,mis,mis,Het,13.0,311.5
11,mis,mis,jaar,14.0,235.0
11,mis,mis,daarvoor,15.0,303.0
11,mis,mis,had,16.0,236.0
11,mis,mis,zij,17.0,247.5
11,mis,mis,nog,18.0,701.5
11,mis,mis,een,19.0,244.5
11,mis,mis,dure,20.0,237.0
11,mis,mis,rechtszaak,21.0,480.0
11,mis,mis,aangespannen.,22.0,496.0
12,match,match,De,1.0,453.0
12,match,match,regisseur,2.0,313.0
12,match,match,herkende,3.0,399.0
12,match,match,slechts,4.0,488.25
12,match,match,één,5.0,399.5
12,match,match,acteur,6.0,370.5
12,match,match,op,7.0,409.0
12,match,match,de,8.0,373.25
12,match,match,filmset,9.0,415.75
12,match,match,die,10.0,470.75
12,match,match,maand.,11.0,417.75
12,match,match,Hier,12.0,454.75
12,match,match,in,13.0,347.5
12,match,match,Hollywood,14.0,407.0
12,match,match,is,15.0,381.25
12,match,match,hij,16.0,357.25
12,match,match,niet,17.0,362.5
12,match,match,zo,18.0,365.0
12,match,match,heel,19.0,398.5
12,match,match,bekend.,20.0,1240.6666666666667
12,match,mis,De,1.0,327.5
12,match,mis,regisseur,2.0,293.5
12,match,mis,herkende,3.0,328.5
12,match,mis,slechts,4.0,306.0
12,match,mis,één,5.0,325.0
12,match,mis,actrice,6.0,295.0
12,match,mis,op,7.0,338.0
12,match,mis,de,8.0,283.0
12,match,mis,filmset,9.0,237.5
12,match,mis,die,10.0,358.0
12,match,mis,maand.,11.0,490.5
12,match,mis,Hier,12.0,619.5
12,match,mis,in,13.0,251.5
12,match,mis,Hollywood,14.0,248.0
12,match,mis,is,15.0,990.0
12,match,mis,hij,16.0,208.5
12,match,mis,niet,17.0,196.5
12,match,mis,zo,18.0,333.0
12,match,mis,heel,19.0,273.0
12,match,mis,bekend.,20.0,656.5
12,mis,match,De,1.0,297.6666666666667
12,mis,match,regisseur,2.0,314.3333333333333
12,mis,match,herkende,3.0,285.6666666666667
12,mis,match,slechts,4.0,222.0
12,mis,match,één,5.0,215.0
12,mis,match,actrice,6.0,304.0
12,mis,match,op,7.0,262.3333333333333
12,mis,match,de,8.0,229.0
12,mis,match,filmset,9.0,312.6666666666667
12,mis,match,die,10.0,190.66666666666666
12,mis,match,maand.,11.0,342.6666666666667
12,mis,match,Hier,12.0,417.0
12,mis,match,in,13.0,243.0
12,mis,match,Hollywood,14.0,199.66666666666666
12,mis,match,is,15.0,313.0
12,mis,match,zij,16.0,206.66666666666666
12,mis,match,niet,17.0,206.0
12,mis,match,zo,18.0,221.33333333333334
12,mis,match,heel,19.0,269.0
12,mis,match,bekend.,20.0,383.0
12,mis,mis,De,1.0,498.4
12,mis,mis,regisseur,2.0,493.5
12,mis,mis,herkende,3.0,783.0
12,mis,mis,slechts,4.0,569.8
12,mis,mis,één,5.0,531.25
12,mis,mis,��n,5.0,506.0
12,mis,mis,acteur,6.0,475.4
12,mis,mis,op,7.0,408.6
12,mis,mis,de,8.0,505.2
12,mis,mis,filmset,9.0,447.6
12,mis,mis,die,10.0,396.8
12,mis,mis,maand.,11.0,931.4
12,mis,mis,Hier,12.0,480.2
12,mis,mis,in,13.0,424.0
12,mis,mis,Hollywood,14.0,401.4
12,mis,mis,is,15.0,434.2
12,mis,mis,zij,16.0,412.6
12,mis,mis,niet,17.0,406.8
12,mis,mis,zo,18.0,411.6
12,mis,mis,heel,19.0,389.8
12,mis,mis,bekend.,20.0,1016.8
13,match,match,De,1.0,341.4
13,match,match,notaris,2.0,350.0
13,match,match,liet,3.0,492.6
13,match,match,aan,4.0,290.8
