ItemNo,as.numeric(as.character(WordNo)),Word,RT
274,10.0,over,407.3703703703704
274,11.0,hun,367.74074074074076
274,12.0,verblijf.,615.5185185185185
274,13.0,Enkele,456.55555555555554
274,14.0,dagen,356.74074074074076
274,15.0,later,431.2962962962963
274,16.0,belde,373.0
274,17.0,de,370.0740740740741
274,18.0,manager,421.6296296296296
274,19.0,pas,390.6666666666667
274,20.0,terug.,512.8846153846154
275,1.0,Een,432.4074074074074
275,2.0,paar,396.14814814814815
275,3.0,jongeren,405.46153846153845
275,4.0,leerden,439.1111111111111
275,5.0,tijdens,370.61538461538464
275,6.0,die,406.7037037037037
275,7.0,les,359.6923076923077
275,8.0,van,412.6296296296296
275,9.0,de,408.962962962963
275,10.0,gymleraar,428.037037037037
275,11.0,een,359.8888888888889
275,12.0,nieuwe,338.5925925925926
275,13.0,techniek.,613.5925925925926
275,14.0,Weken,428.55555555555554
275,15.0,later,366.9259259259259
275,16.0,moest,373.81481481481484
275,17.0,de,340.85185185185185
275,18.0,gymleraar,482.3333333333333
275,19.0,het,360.18518518518516
275,20.0,opnieuw,368.22222222222223
275,21.0,uitleggen.,452.11538461538464
276,1.0,Een,518.8888888888889
276,2.0,paar,434.4074074074074
276,3.0,bezoekers,435.85185185185185
276,4.0,praatten,497.962962962963
276,5.0,die,423.48148148148147
276,6.0,namiddag,467.74074074074076
276,7.0,met,417.037037037037
276,8.0,de,369.4074074074074
276,9.0,monnik,459.8888888888889
276,10.0,over,391.3333333333333
276,11.0,het,386.2962962962963
276,12.0,klooster.,716.1851851851852
276,13.0,De,490.2692307692308
276,14.0,volgende,360.3333333333333
276,15.0,dag,346.3703703703704
276,16.0,bracht,378.6666666666667
276,17.0,de,334.22222222222223
276,18.0,monnik,328.81481481481484
276,19.0,in,351.037037037037
276,20.0,stilte,377.74074074074076
276,21.0,door.,557.3846153846154
277,1.0,Een,524.6538461538462
277,2.0,aantal,388.6296296296296
277,3.0,scholieren,395.6296296296296
277,4.0,kreeg,474.14814814814815
277,5.0,die,359.0
277,6.0,week,342.5925925925926
277,7.0,een,321.22222222222223
277,8.0,rondleiding,349.14814814814815
277,9.0,van,372.8888888888889
277,10.0,de,329.9259259259259
277,11.0,non.,564.7407407407408
277,12.0,Tijdens,531.4444444444445
277,13.0,haar,317.44444444444446
277,14.0,verhaal,349.8888888888889
277,15.0,gebaarde,348.55555555555554
277,16.0,de,370.18518518518516
277,17.0,non,373.77777777777777
277,18.0,erg,374.6666666666667
277,19.0,enthousiast.,545.5384615384615
278,1.0,Een,441.3703703703704
278,2.0,aantal,433.55555555555554
278,3.0,cursisten,610.5185185185185
278,4.0,kreeg,482.6296296296296
278,5.0,die,375.7037037037037
278,6.0,avond,404.25925925925924
278,7.0,van,382.85185185185185
278,8.0,de,351.18518518518516
278,9.0,kunstenares,484.3703703703704
278,10.0,nuttige,432.1111111111111
278,11.0,feedback.,524.8461538461538
278,12.0,Tijdens,543.5555555555555
278,13.0,de,375.22222222222223
278,14.0,les,343.1111111111111
278,15.0,liep,326.3333333333333
278,16.0,de,349.25925925925924
278,17.0,kunstenares,396.4074074074074
278,18.0,telkens,424.4074074074074
278,19.0,op,369.8888888888889
278,20.0,en,366.037037037037
278,21.0,neer.,534.0
279,1.0,Een,387.6666666666667
279,2.0,aantal,382.6296296296296
279,3.0,mensen,393.6666666666667
279,4.0,deed,379.2962962962963
279,5.0,die,383.22222222222223
279,6.0,dag,389.14814814814815
279,7.0,bij,363.22222222222223
279,8.0,de,321.3333333333333
279,9.0,zangleraar,405.0
279,10.0,wat,392.5925925925926
279,11.0,oefeningen.,663.4074074074074
279,12.0,Na,458.22222222222223
279,13.0,die,334.4074074074074
279,14.0,werkdag,373.8888888888889
279,15.0,had,349.18518518518516
279,16.0,de,315.2962962962963
279,17.0,zangleraar,366.9259259259259
279,18.0,zelf,339.18518518518516
279,19.0,last,365.6296296296296
279,20.0,van,340.81481481481484
279,21.0,zijn,386.14814814814815
279,22.0,keel.,472.7307692307692
280,1.0,Een,415.7037037037037
280,2.0,aantal,408.84615384615387
280,3.0,sporters,410.3703703703704
280,4.0,klaagde,420.0
280,5.0,die,412.51851851851853
280,6.0,middag,447.25925925925924
280,7.0,over,384.5925925925926
280,8.0,hun,336.037037037037
280,9.0,spierpijn,382.14814814814815
